filenames,0,1,2,3,4,5,6
frames/20090217_eor-1_9G1_13_L1/1.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/2.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/3.jpg,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/4.jpg,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/5.jpg,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/6.jpg,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/7.jpg,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/8.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/9.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/10.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/11.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/12.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/13.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/14.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/15.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/16.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/17.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/18.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/19.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/20.jpg,0.006309148264984227,0.05,0.0,0.0,0.0,0.0,0.0
frames/20090217_eor-1_9G1_13_L1/21.jpg,0.012618296529968454,0.05,0.0,0.0,0.0,0.0,0.0
